id,mst,ten_nnt,dia_chi,cqt
693,3200708518,"Công Ty TNHH Công Nghệ Và Đầu Tư Quảng Trị","Khu phố 2, Phường Đông Giang, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
694,4101393851-001,"Công Ty TNHH Ant (Mv) - Chi Nhánh Quảng Trị","KCN Nam Đông Hà, Phường Đông Lương, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
695,3200708966,"Công Ty TNHH MTV Đt Năng Lượng Hoàng Hải Quảng Trị","Số 145 Lê Thánh Tông, Phường 5, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
696,3200708934,"Công Ty TNHH MTV Đt Năng Lượng Tài Tâm Quảng Trị","Số 145 Lê Thánh Tông, Phường 5, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
697,3200710041,"Công Ty TNHH Đầu Tư Xây Lắp Và Thương Mại Nhật Huy","Số nhà 12/01, đường Hùng Vương, Khu Phố 7, Phường 1, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
698,0400101556-020,"Chi Nhánh Tổng Công Ty Cổ Phần Dệt May Hòa Thọ - Nhà Máy May Hòa Thọ Triệu Phong.","Lô CN1, Cụm Công nghiệp Đông Ái Tử, Thị trấn ái Tử, Huyện Triệu Phong, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
699,3200593472,"Công Ty TNHH Thương Mại Xuất Nhập Khẩu Ping Xiang Xinhui","Khu Công nghiệp Quán Ngang, Xã Gio Quang, Huyện Gio Linh, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
700,3200192921-001,"Chi Nhánh Công Ty TNHH MTV CNTH Duy Long","140 Hàm Nghi, Thị trấn Cam Lộ, Huyện Cam Lộ, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
701,3200569141,"Trường Trung Cấp NgHề Tổng hợp Asean","Số 20 Lê Quý Đôn, Thị trấn Lao Bảo, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
702,0109384717-009,"Chi Nhánh Quảng Trị - Công Ty Cổ Phần Tập Đoàn Tài Chính T99","Số 94 Quốc Lộ 9, Phường 1, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
703,0107490572-047,"Chi Nhánh Công Ty Cổ Phần Kinh Doanh F88 Tại Quảng Trị","Số 242 Trần Hưng Đạo, Phường 2, Thị xã Quảng Trị, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
704,3200099993,"TT Đăng Kiểm Phương Tiện Cơ Giới Thuỷ  Bộ  Quảng Trị","61 Lý thường Kiệt, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
705,3200042595,"Đài PháT tHanh Truyền hình Quảng Trị","105/2 Nguyễn Trãi, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
706,3200042605,"Trung Tâm Quản Lý Di Tích Và Bảo Tàng Tỉnh Quảng Trị","180 Trần Hưng Đạo, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
707,3200098340,"Trung Tâm Quản Lý Bến Xe Khách Quảng Trị","Phường 1, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
708,3200098453,"Phòng Quản Lý Sức Khỏe Cán Bộ","38 Trần Hưng Đạo, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
709,3200098460,"Bệnh Viện Đa Khoa Tỉnh","Đường Hùng Vương nối dài, Phường Đông Lương, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
710,3200042316,"Chi Cục ChăN nuôi Và Thú Y Quảng Trị","Km3 - Đường 9D, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
711,3200042186,"Công Ty Cổ Phần Quản Lý Và Xây Dựng Giao Thông Quảng Trị","Số 49B Lý Thường Kiệt, Phường Đông Lương, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
712,3200042267,"Chi Cục Trồng Trọt Và Bảo Vệ Thực Vật tỉnh Quảng Trị","270 Hùng Vương, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
713,3200142046,"Trung Tâm Giống Cây Trồng Vật Nuôi Quảng Trị","176 Lý Thường Kiệt, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
714,3200114828,"Công Ty TNHH Thanh Niên","Số 109 Nguyễn Huệ, Phường 1, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
715,3200139131,"Công Ty Cổ Phần Xây Dựng 78","51B Trần Hưng Đạo, Phường 1, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
716,3200105125,"Báo Quảng Trị","311 Hùng Vương, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
717,3200100511,"Tạp Chí  Cửa Việt","Tạp Chí  Cửa Việt, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
718,3200098326,"Đoạn Quản Lý Đường Thủy Nội Địa Quảng Trị","Phường 2, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
719,3200041217,"Nhà Khách Tỉnh Uỷ","Km 3 Quốc lộ 9, Phường 3, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
720,3200098319,"Phòng Công Chứng Số 1 Tỉnh Quảng Trị","40 Trần Hưng Đạo, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
721,3200011420,"Công Ty TNHH Xây Dựng Số 1 Quảng Trị","Tầng 2 số 524 đường Lê Duẩn, Phường Đông Lương, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
