ID,MST,Ten_NNT,Dia_chi,CQT
2332,0400101852-006,Xí nghiệp Vận tải và Dịch vụ Tổng hợp Công ty Cổ phần Dịch vụ và Vận tải Ô Tô Số 6,"Số 212 Lê Lợi, phường Đông Lương, TP Đông Hà, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2333,3200578604,Công ty Trách nhiệm hữu hạn Một thành viên Thương mại Vận tải 44,"Số 466 Lê Duẩn, thị trấn Hồ Xá, huyện Vĩnh Linh, tỉnh Quảng Trị",Đội Thuế liên huyện Vĩnh Linh - Gio Linh
2334,3200668865,Công ty TNHH MTV TQT Anh Quân,"Khu phố 8, phường 5, TP Đông Hà, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2335,3200612397,Công ty Cổ phần Bê Tông Vân Phong,"Số 36 Lê Thánh Tông, phường 5, TP Đông Hà, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2336,3200469066,Công ty Cổ phần Tư vấn và Xây dựng HT,"Số nhà 28 Hoàng Diệu, phường 2, thị xã Quảng Trị, tỉnh Quảng Trị",Đội Thuế liên huyện Triệu Hải
2337,3200270993,Công ty Trách nhiệm hữu hạn Một thành viên Lý Len,"Số 259 Trần Hưng Đạo, phường 2, thị xã Quảng Trị, tỉnh Quảng Trị",Đội Thuế liên huyện Triệu Hải
2338,3200660993,Công ty TNHH 4A An Thành Phát,"Số 01 đường 2/4 Khu phố 4, thị trấn Cam Lộ, huyện Cam Lộ, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2339,3200121945,Công ty Trách nhiệm hữu hạn Một thành viên QT Hiền Hoa,"Số 04 Tô Ngọc Vân, phường 1, TP Đông Hà, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2340,3200640517,Công ty Trách nhiệm hữu hạn Một thành viên Thiên Hùng Hà,"Thôn Phường Cội, xã Cam Thành, huyện Cam Lộ, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2341,3200561230,Công ty Trách nhiệm hữu hạn Một thành viên Xây dựng và Tư vấn Nhật Cường,"Số 150B Nguyễn Du, Khu phố 5, phường 1, TP Đông Hà, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2342,3200526557,Công ty Cổ phần Lâm Sản Cam Lộ,"Thôn Phan Xá Phường, xã Cam Thành, huyện Cam Lộ, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2343,3200693124,Công ty TNHH MTV Ngọc Tiến Đạt,"Số 14 Đường Thành Cổ, Khu phố 1, phường 3, TP Đông Hà, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2344,3200698429,Công ty Cổ phần ICD Đông Nam,"Tầng 2, Số 150 Quốc lộ 9, phường 1, TP Đông Hà, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2345,3200710637,Công ty TNHH Solar Kesaf 1,"03 Lê Quý Đôn, phường 1, TP Đông Hà, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2346,3200632280,Công ty Trách nhiệm hữu hạn 01 TV BH,"Thôn Tân Xuyên, xã Tân Hợp, huyện Hướng Hoá, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2347,3200613168,Công ty TNHH Dệt May VTJ Toms,"Cụm Công nghiệp Diên Sanh, thị trấn Diên Sanh, huyện Hải Lăng, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2348,3200574085,Công ty Trách nhiệm hữu hạn Một thành viên Sao Kim Thailand,"345 Trần Bình Trọng, Khu phố 8, phường 5, TP Đông Hà, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2349,3200721614,Công ty Cổ phần Nông Nghiệp Hữu Cơ Thương mại Quảng Trị,"Tầng 3 Số 01 Phan Bội Châu, phường 1, TP Đông Hà, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2350,3200639800,Công ty Trách nhiệm hữu hạn Một thành viên QT Tân Lộc Khang,"Thôn Nại Cửu, xã Tân Thành, huyện Hướng Hoá, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2351,3200677411,Công ty TNHH MTV Huỳnh Trọng Phát,"48/5 Nguyễn Du, phường 5, TP Đông Hà, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2352,3200677281,Công ty TNHH MTV Tâm Minh Thịnh,"48/5 Nguyễn Du, phường 5, TP Đông Hà, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2353,3200719580,Công ty Trách nhiệm hữu hạn Trương Minh Quân,"Nhà Ông Nguyễn Minh Hợi, thị trấn Lao Bảo, huyện Hướng Hoá, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2354,3200718315,Công ty Cổ phần Phát triển Năng lượng và Nông nghiệp công nghệ cao Quảng Trị,"Số 3, đường Đội Cấn, phường Đông Lương, TP Đông Hà, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2355,3200642169,Medipeace,"133 Lý Thường Kiệt, TP Đông Hà, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2356,3200731267,Công ty TNHH Đình Tuấn Anh,"Số 03 Trần Phú, Khóm Tây Chín, thị trấn Lao Bảo, huyện Hướng Hoá, tỉnh Quảng Trị",Đội Thuế liên huyện Hướng Hóa - Đakrông
2357,3200615398,Công ty Trách nhiệm hữu hạn Một thành viên Nguyễn Tuấn Hoàng,"Số 99 Huỳnh Thúc Kháng, Khu phố 1, phường Đông Lễ, TP Đông Hà, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2358,3200108729,Công ty Trách nhiệm hữu hạn Thành Hưng,"Khu phố 1, phường Đông Giang, TP Đông Hà, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2359,3200114289,Công ty Cổ phần Thành An,"Thôn Hà Thanh, xã Gio Châu, huyện Gio Linh, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2360,3200042203,Công ty Trách nhiệm hữu hạn Một thành viên Xây dựng 384,"Số 495 Quốc Lộ 9, phường 3, TP Đông Hà, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2361,3200568250,Công ty Trách nhiệm hữu hạn Một thành viên Trần Gia Thịnh Phát,"Khóm Tây Chín, thị trấn Lao Bảo, huyện Hướng Hoá, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2362,3200258812,Công ty Cổ phần Chế biến và xuất khẩu Quảng Phú,"Khu Công Nghiệp Quán Ngang, xã Gio Quang, huyện Gio Linh, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
